,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,cluster,nama_kecamatan
69,0.21148636108423102,0.3126118644271525,0.24884607751470356,0,MENTEBAH
70,0.3975684546818321,0.43216096840731844,0.0,1,MENUKUNG
71,0.268261449094122,0.3806550231817747,0.10721161440231546,2,MENYUKE
72,1.0,0.5541768350063672,0.07814981678355322,4,MERANTI
73,0.0,0.3232641622892416,0.22444006665156097,0,MONTERADO
74,0.22747838322618597,0.30337745182423426,0.26806786390629045,0,MUARA PAWAN
75,0.22302911179092488,0.33888853797897234,0.19304894481984652,2,MUKOK
76,0.21763834054873943,0.36761437986911005,0.18535907554191317,2,NANGA MAHAP
77,0.2564765573299961,0.38104131570708333,0.21412084103482187,2,NANGA PINOH
78,0.3284400245986461,0.4949454222990539,0.06996768129246354,1,NANGA TAMAN
79,0.24003762390715222,0.3613775953445728,0.1473383253961903,2,NANGA TAYAP
80,0.6461328438847789,0.4221741872782969,0.0805250710631215,1,NGABANG
81,0.28636738077721313,0.2758658671762415,0.3253342904661014,0,NOYAN
82,0.12998026147384267,0.32572920909747527,0.2215418180466988,0,PALOH
83,0.390460776421242,0.3132064892947737,0.12840918853340166,1,PARINDU
84,0.2198570469780482,0.33738826954472856,0.1972730338759474,2,PEMAHAN
85,0.056576565605802154,0.3379408402977786,0.19612283566867506,0,PEMANGKAT
86,0.31150247788632,0.3173664543006476,0.23894921504715388,2,PENGKADAN
87,0.3160825157291476,0.39462407834841073,0.07813448639843788,1,PINOH SELATAN
88,0.4114469977832398,0.43022138601018867,0.004037315916437481,1,PINOH UTARA
89,0.1847937662506326,0.4454160204583886,0.14015209613898894,2,PONTIANAK BARAT
90,0.1817059608064331,0.3730526740685365,0.10588561413430116,2,PONTIANAK KOTA
91,0.11862054592412707,0.5527538849283582,0.09448738501608243,2,PONTIANAK SELATAN
92,0.1654312150486813,0.39327916472516744,0.08560280308734729,2,PONTIANAK TENGGARA
93,0.21549580607808916,0.3695622016236335,0.18672847285881528,2,PONTIANAK TIMUR
94,0.1805875240988576,0.34942928792898,0.17120771734347723,2,PONTIANAK UTARA
95,0.16789570001052923,0.08645918089877913,0.7195916240198196,3,PULAU MAYA
96,0.1272978972212161,0.3930225753528207,0.08146807674175822,2,PURING KENCANA
97,0.24233011670089688,0.35906091300766363,0.1275364033877217,2,PUTUSSIBAU SELATAN
98,0.21801144090487923,0.3533773809387233,0.1639910808102235,2,PUTUSSIBAU UTARA
99,0.20334120988456483,0.35353631006638064,0.16366026321135813,2,RASAU JAYA
100,0.1129075936481787,0.27746942336746905,0.21334929410443615,0,SADANIANG
101,0.03178557586617059,0.35381226441277125,0.16308585394138114,0,SAJAD
102,0.09784722587125672,0.36576120269207735,0.13821367690466524,2,SAJINGAN BESAR
103,0.09773297639035783,0.2721377093172439,0.3330945944483063,0,SALATIGA
104,0.13369341756517428,0.3796283462165313,0.10934868276209857,2,SAMALANTAN
105,0.16325738332421957,0.4296852471770878,0.20412798388146058,2,SAMBAS
106,0.17412373674166615,0.30826995185609807,0.2578839368388427,0,SANDAI
107,0.12148921243467792,0.35647561502559544,0.15754198700946737,2,SANGGAU LEDO
108,0.36366439155647323,0.390437773049384,0.08684844281476704,1,SAYAN
109,0.44402849880164563,0.4073333656953322,0.05167961425079953,1,SEBANGKI
