,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,nama_kecamatan
147,89.03685679,97.65027404,2.943841252,SUNGAI KAKAP
148,86.51758931,97.22624976,2.773750236,SUNGAI KUNYIT
149,88.84426595,97.21245605,2.91310899,SUNGAI LAUR
150,83.42766584,97.81546811,2.184531886,SUNGAI MELAYU RAYAK
151,76.10382361,97.87663195,2.12336805,SUNGAI PINYUH
152,84.58379618,98.26052328,1.814885108,SUNGAI RAYA
153,67.18022558,97.65664071,2.343359291,SUNGAI RAYA KEPULAUAN
154,92.95895864,98.53604907,1.463950932,SUNGAI TEBELIAN
155,73.42904213,98.14102564,1.858974359,SUTI SEMARANG
156,146.3250518,98.32566914,1.674330857,TANAH PINOH
157,73.34920365,102.4882157,2.132756356,TANGARAN
158,85.29103937,98.97583538,1.024164621,TAYAN HILIR
159,83.21376527,98.20839227,1.757930895,TAYAN HULU
160,76.08371508,96.78645637,2.335190782,TEBAS
161,70.98581031,96.97527617,3.02472383,TEKARANG
162,83.85884318,95.44322709,4.556772908,TELUK BATANG
163,73.81483277,98.27948516,3.65773575,TELUK KERAMAT
164,94.79156253,97.26850875,2.731491247,TELUK PAKEDAI
165,91.40216955,98.94017094,1.05982906,TEMPUNAK
166,77.33305682,99.87932422,2.145347278,TERENTANG
167,83.15065763,98.60994608,1.390053925,TERIAK
168,83.8071066,98.92994145,1.07005855,TOBA
169,71.06185107,98.41340982,1.586590176,TOHO
170,80.56434838,97.86708577,2.132914234,TUJUH BELAS
171,90.69539667,97.70518359,2.294816415,TUMBANG TITI
