Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,,,,,,
60,"Jialan Liu, Chi Ma, Hongquan Gui, Shilong Wang",Thermally-induced error compensation of spindle system based on long short term memory neural networks,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462100017X,,32,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107094,1568-4946,,102,,107094,107094,60,20,15,4,3,,,,,,,,,
79,"Guangfen Wei, Jie Zhao, Yanli Feng, Aixiang He, Jun Yu",A novel hybrid feature selection method based on dynamic feature importance,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302775,,33,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106337,1568-4946,,93,,106337,106337,79,19.75,16,5,4,,,,,,,,,
59,"Xi Yang, Wenyin Gong",Opposition-based JAYA with population reduction for parameter estimation of photovoltaic solar cells and modules,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621001411,,34,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107218,1568-4946,,104,,107218,107218,59,19.67,30,2,3,,,,,,,,,
19,"Jiaheng Hua, Xiaodong Cui, Xianghua Li, Keke Tang, Peican Zhu",Multimodal fake news detection through data augmentation-based contrastive learning,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623001436,,35,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110125,1568-4946,,136,,110125,110125,19,19,4,5,1,,,,,,,,,
57,"Md. Anisul Islam, Yuvraj Gajpal, Tarek Y. ElMekkawy",Hybrid particle swarm optimization algorithm for solving the clustered vehicle routing problem,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621005767,,36,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107655,1568-4946,,110,,107655,107655,57,19,19,3,3,,,,,,,,,
95,"Hamid Afshari, Warren Hare, Solomon Tesfamariam",Constrained multi-objective optimization algorithms: Review and comparison with application in reinforced concrete structures,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619304119,,37,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105631,1568-4946,,83,,105631,105631,95,19,32,3,5,,,,,,,,,
93,"Zhun Fan, Yi Fang, Wenji Li, Xinye Cai, Caimin Wei, Erik Goodman",MOEA/D with angle-based constrained dominance principle for constrained multi-objective optimization problems,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494618305842,,38,5/14/2024 20:15,journal-article,10.1016/j.asoc.2018.10.027,1568-4946,,74,,621,633,93,18.6,16,6,5,,,,,,,,,
92,"Chao Luo, Chenhao Tan, Xingyuan Wang, Yuanjie Zheng",An evolving recurrent interval type-2 intuitionistic fuzzy neural network for online learning and time series prediction,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300961,,39,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.02.032,1568-4946,,78,,150,163,92,18.4,23,4,5,,,,,,,,,
72,"Wenyan Guo, Ting Liu, Fang Dai, Peng Xu",An improved whale optimization algorithm for forecasting water resources demand,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307069,,40,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105925,1568-4946,,86,,105925,105925,72,18,18,4,4,,,,,,,,,
88,"Ping Jiang, Zhenkun Liu",Variable weights combined model based on multi-objective optimization for short-term wind speed forecasting,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619303679,,41,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105587,1568-4946,,82,,105587,105587,88,17.6,44,2,5,,,,,,,,,
35,"Jinxing Zhu, Xueling Ma, Jianming Zhan, Yiyu Yao",A three-way multi-attribute decision making method based on regret theory and its application to medical data in fuzzy environments,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622003118,,42,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108975,1568-4946,,123,,108975,108975,35,17.5,9,4,2,,,,,,,,,
85,"Ziwen Sun, Min Wei, Zhiwei Zhang, Gang Qu",Secure Routing Protocol based on Multi-objective Ant-colony-optimization for wireless sensor networks,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300407,,43,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.01.034,1568-4946,,77,,366,375,85,17,21,4,5,,,,,,,,,
17,"Sheng Feng, Liping Zhao, Haiyan Shi, Mengfei Wang, Shigen Shen, Weixing Wang",One-dimensional VGGNet for high-dimensional data,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623000534,,44,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110035,1568-4946,,135,,110035,110035,17,17,3,6,1,,,,,,,,,
17,"Sheng Feng, Liping Zhao, Haiyan Shi, Mengfei Wang, Shigen Shen, Weixing Wang",One-dimensional VGGNet for high-dimensional data,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623000534,,45,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110035,1568-4946,,135,,110035,110035,17,17,3,6,1,,,,,,,,,
67,"Jianhua Dai, Jiaolong Chen",Feature selection via normative fuzzy information weight with application into tumor classification,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302398,,46,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106299,1568-4946,,92,,106299,106299,67,16.75,34,2,4,,,,,,,,,
16,"Lucas Francisco Amaral Orosco Pellicer, Taynan Maier Ferreira, Anna Helena Reali Costa",Data augmentation techniques in natural language processing,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622008523,,47,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109803,1568-4946,,132,,109803,109803,16,16,5,3,1,,,,,,,,,
16,"Yihu Zhang, Bo Yang, Haodong Liu, Dongsheng Li",A time-aware self-attention based neural network model for sequential recommendation,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622009437,,48,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109894,1568-4946,,133,,109894,109894,16,16,4,4,1,,,,,,,,,
79,"Shihao Wang, Yuzhen Li, Hongyu Yang",Self-adaptive mutation differential evolution algorithm based on particle swarm optimization,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302662,,49,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105496,1568-4946,,81,,105496,105496,79,15.8,26,3,5,,,,,,,,,
79,"Shihao Wang, Yuzhen Li, Hongyu Yang",Self-adaptive mutation differential evolution algorithm based on particle swarm optimization,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302662,,50,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105496,1568-4946,,81,,105496,105496,79,15.8,26,3,5,,,,,,,,,
79,"Qing Zhu, Fan Zhang, Shan Liu, Yiqiong Wu, Lin Wang",A hybrid VMD–BiGRU model for rubber futures time series forecasting,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305204,,51,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105739,1568-4946,,84,,105739,105739,79,15.8,16,5,5,,,,,,,,,
47,"Nan Zhang, Yu-an Tan, Chen Yang, Yuanzhang Li",Deep learning feature exploration for Android malware detection,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620310073,,52,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.107069,1568-4946,,102,,107069,107069,47,15.67,12,4,3,,,,,,,,,
47,"Guangquan Huang, Liming Xiao",Failure mode and effect analysis: An interval-valued intuitionistic fuzzy cloud theory-based method,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620307729,,53,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106834,1568-4946,,98,,106834,106834,47,15.67,24,2,3,,,,,,,,,
77,"Yongjun Sun, Tong Yang, Zujun Liu",A whale optimization algorithm based on quadratic interpolation for high-dimensional global optimization problems,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305253,,54,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105744,1568-4946,,85,,105744,105744,77,15.4,26,3,5,,,,,,,,,
77,"Yongjun Sun, Tong Yang, Zujun Liu",A whale optimization algorithm based on quadratic interpolation for high-dimensional global optimization problems,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305253,,55,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105744,1568-4946,,85,,105744,105744,77,15.4,26,3,5,,,,,,,,,
46,"Ali Bou Nassif, Ashraf Elnagar, Ismail Shahin, Safaa Henno",Deep learning for Arabic subjective sentiment analysis: Challenges and research opportunities,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620307742,,56,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106836,1568-4946,,98,,106836,106836,46,15.33,12,4,3,,,,,,,,,
